GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
GBP1	1.163	1.137	-0.588	-0.585	0.953	0.912	-0.524	-0.518	1.171	1.137	-0.143	-0.166	1.223	1.218	-1.072	-0.876	1.433	1.431	-0.372	-0.295	1.036	1.043	-0.975	-0.977	-0.4	-0.46	-0.879	-0.795	-0.09	-0.039	-1.756	-2.348
GBP2	1.183	1.22	-0.555	-0.405	0.876	0.816	-0.429	-0.358	1.311	1.233	-0.568	-0.499	1.133	1.19	-1.284	-1.735	1.628	1.723	-0.736	-0.419	1.005	1.184	-1.019	-1.155	-1.008	-0.792	-0.829	-0.629	-0.116	-0.04	-0.933	-0.995
GBP3	0.915	0.812	-0.921	-0.893	1.064	1.016	-0.269	-0.318	1.297	1.256	-0.248	-0.273	0.934	0.956	-1.233	-1.209	1.695	1.698	0.026	0.022	1.053	1.068	-0.95	-0.852	-0.282	-0.379	-0.684	-0.668	-0.362	-0.471	-1.979	-1.82
GBP4	1.168	1.281	-0.784	-0.305	0.531	0.62	-0.9	-0.603	1.339	1.149	-0.121	-0.73	1.158	1.132	-1.315	-0.81	1.564	1.519	-0.679	-0.686	1.398	1.515	-0.28	-0.156	-0.826	-1.315	-1.315	-0.866	0.105	-0.846	-0.629	-1.315
GBP5	1.138	1.33	-0.562	-0.473	0.783	0.621	-1.329	-0.988	1.383	1.429	-0.435	-0.48	1.134	1.264	-0.935	-0.939	1.41	1.364	-0.759	-0.905	1.245	1.295	-0.386	-0.571	-0.375	-0.098	-0.32	-0.269	-0.36	-0.991	-1.416	-1.805
GCH1	1.158	1.158	-0.725	-0.656	1.172	1.036	0.14	-0.023	1.364	1.418	-0.482	-0.533	0.964	1.051	-1.486	-1.421	1.571	1.584	-0.087	-0.115	0.746	0.668	-1.164	-1.106	-1.143	-1.103	-0.912	-0.912	-0.009	0.045	-0.942	-1.26
GCNT1	0.954	0.963	-0.086	0.025	0.413	0.258	0.472	0.495	0.92	0.997	0.042	0.05	0.574	0.634	0.042	-0.062	0.686	0.676	-1.081	-0.983	0.374	0.327	-0.229	-0.463	0.816	0.722	0.654	0.661	-1.678	-1.865	-3.308	-2.0
GIMAP2	1.114	1.3	0.324	-0.983	0.848	0.189	-0.983	-0.124	1.564	1.14	-0.406	0.253	1.513	1.55	-0.37	-0.374	1.67	1.526	-0.983	-0.983	0.862	0.734	-0.983	-0.983	-0.983	-0.983	-0.983	-0.983	-0.534	-0.983	-0.983	-0.983
GLRX	1.448	1.519	-0.534	-0.694	0.503	0.482	-0.881	-1.084	1.478	1.438	-0.365	-0.653	1.523	1.371	-1.134	-1.297	1.483	1.467	-0.737	-1.329	0.987	0.874	-1.028	-0.981	-0.462	-0.712	-0.421	-0.689	-0.406	-0.352	-0.374	-0.438
GMPR	1.118	1.085	-0.612	-0.695	0.831	0.563	-0.665	-0.434	1.662	1.695	0.148	0.084	1.265	1.362	-1.289	-0.931	1.278	1.221	-0.855	-0.562	1.182	1.241	-0.614	-0.684	-1.231	-0.902	-1.117	-1.116	-0.365	-0.579	-0.961	-1.122
GNB4	1.093	1.146	-0.41	-0.426	0.997	1.149	0.469	0.406	1.394	1.319	-0.852	-0.632	1.039	0.963	-1.465	-1.398	1.253	1.304	-0.356	-0.465	0.757	0.884	-1.253	-1.334	-1.275	-1.31	-1.351	-1.413	-0.04	0.092	-0.174	-0.111
GOLM1	1.693	1.518	0.213	0.03	0.011	-0.09	-0.468	-0.799	1.164	1.066	-1.021	-1.243	1.386	1.401	-0.172	-0.281	1.873	1.783	-0.869	-0.932	-0.382	-0.285	-1.321	-1.021	0.521	0.731	-0.067	-0.172	-1.204	-1.251	-0.799	-1.013
GPATCH11	-1.815	-0.606	0.09	0.876	-0.637	-0.152	0.489	0.563	-1.825	-1.365	-0.149	0.371	-1.247	-1.378	-0.832	-1.286	-1.049	-0.277	0.774	-0.088	-0.325	-0.66	1.39	1.546	0.004	0.639	0.825	1.185	1.517	1.074	1.361	0.987
GPBP1	0.344	0.222	-1.169	-1.324	0.226	0.398	-0.421	-0.759	1.62	1.333	-1.302	-1.248	1.11	1.415	-0.188	-0.522	1.764	1.466	-0.695	-0.856	1.401	1.343	-0.141	0.107	-0.159	-0.31	-0.191	0.136	-0.066	-0.055	-1.582	-1.895
GRINA	1.316	1.277	-0.429	-0.358	0.287	0.869	-0.543	-0.078	0.536	1.327	-1.958	-1.958	0.553	0.702	1.738	1.337	1.181	0.965	-1.061	-0.635	1.043	1.078	-0.898	-0.614	-0.919	-0.564	-1.05	-1.015	-0.465	-0.277	-0.578	-0.809
GSDMD	0.019	0.106	-0.677	-0.895	0.827	0.703	-0.224	-0.366	1.657	1.64	0.51	0.499	1.25	1.279	-1.365	-1.088	1.64	1.619	0.239	0.226	0.527	0.486	-1.416	-0.4	-1.386	-1.825	-1.159	-1.169	0.248	-0.103	-0.524	-0.878
GTPBP1	1.324	1.425	-0.992	-1.025	0.939	1.106	-0.804	-0.607	1.061	1.404	-1.473	-1.297	0.772	1.143	-0.165	-0.339	1.686	1.58	-0.597	-0.74	1.035	1.218	-0.794	-0.48	-0.827	-0.752	-1.196	-1.001	-0.604	-0.315	-0.461	-0.224
GTPBP2	0.849	0.72	-0.46	-0.731	0.093	0.26	-1.585	-1.589	1.381	1.42	-0.071	-0.287	1.132	0.932	-1.494	-1.147	1.738	1.688	-0.649	-0.48	1.18	1.288	-0.132	0.038	0.165	0.23	0.088	0.072	-0.991	-1.292	-1.026	-1.342
HAPLN3	1.025	1.042	-0.592	-0.466	0.631	0.594	-0.459	-0.837	1.413	1.411	0.485	0.43	1.077	1.203	-0.916	-1.324	1.567	1.529	0.356	0.398	0.847	0.843	-1.367	-1.131	-1.158	-1.019	-1.19	-1.388	-0.457	-0.463	-1.213	-0.869
HAVCR2	1.554	1.588	-1.32	-0.815	0.128	0.392	0.169	-0.432	1.704	1.629	-1.493	-1.581	1.149	1.016	-0.533	-0.545	1.238	1.244	-0.991	-0.429	1.299	0.764	-0.804	-0.231	-1.15	-1.172	-0.562	-0.313	-0.461	-0.063	-0.611	-0.368
HBP1	0.657	0.853	0.014	0.176	-0.259	-0.261	-1.222	-1.078	1.689	1.549	0.239	0.098	0.846	1.115	-0.822	-1.188	1.855	1.745	-0.052	-0.177	0.865	0.747	-0.423	-0.345	0.016	0.118	-0.287	-0.078	-1.751	-1.888	-1.369	-1.386
HDX	0.91	1.117	-0.362	-0.975	0.603	1.038	0.22	-0.616	0.689	0.944	-2.702	-1.827	1.117	1.214	-0.458	-0.133	0.734	0.325	-1.473	-0.985	1.261	1.106	-0.731	-1.032	0.068	-0.194	-0.181	-0.144	1.172	0.915	-0.485	-1.135
HEG1	1.28	1.235	0.0	0.013	0.308	0.335	0.046	0.004	0.259	0.289	-0.316	-0.429	0.556	0.576	1.201	1.182	0.72	0.746	-0.125	-0.155	0.633	0.598	0.038	0.027	0.105	0.142	0.066	0.089	-1.904	-2.086	-2.572	-2.863
HELZ2	1.108	1.104	-0.922	-1.13	0.828	0.834	-1.192	-1.055	1.309	1.294	-0.772	-0.943	1.211	1.208	-0.947	-0.992	1.304	1.307	-0.848	-1.039	1.284	1.294	-0.82	-0.808	0.093	0.028	-0.827	-0.745	0.499	0.458	-0.981	-1.141
HERC5	1.254	1.246	-0.698	-0.63	0.992	0.958	-0.514	-0.591	1.417	1.404	-0.905	-0.905	1.322	1.308	-0.962	-0.837	1.214	1.219	-0.744	-0.907	1.309	1.307	-0.789	-0.795	-0.805	-0.622	-0.848	-0.786	0.021	-0.03	-1.292	-1.311
HERC6	1.239	1.205	-0.206	-0.215	0.952	0.951	-0.665	-0.455	1.242	1.236	-0.896	-0.792	1.082	1.107	-1.093	-1.354	1.45	1.468	-0.537	-0.258	1.06	1.051	-1.049	-1.083	-0.376	-0.336	-1.408	-1.554	0.21	0.273	-1.38	-0.868
HES4	0.231	0.375	-0.927	-0.885	-0.063	-0.302	-0.885	-0.904	1.035	1.053	-1.096	-0.96	1.055	0.947	-0.183	-0.425	0.973	0.715	-0.775	-0.692	2.488	2.505	0.494	0.304	0.388	0.506	-0.035	-0.18	-0.739	-0.951	-1.553	-1.515
HESX1	1.843	1.023	-1.373	0.057	-1.226	0.267	0.42	-0.077	1.896	1.39	-0.64	-0.592	0.488	0.892	-1.824	-0.929	0.841	1.566	-0.962	0.368	0.742	1.17	0.104	-0.581	-1.249	-0.019	-0.028	-0.454	-0.587	-0.685	-0.019	-1.825
HEXDC	0.681	0.396	-0.977	-1.903	-0.332	0.121	-1.47	-1.917	1.518	1.312	-0.425	-1.345	0.976	0.867	-0.111	0.123	0.706	0.912	-0.888	-0.047	1.868	1.506	0.449	0.924	-0.04	0.194	-0.208	0.249	-1.223	-1.569	-0.136	-0.214
HIRA	1.519	0.883	-0.768	-0.53	0.842	1.717	-1.648	-1.576	1.24	1.773	-0.389	0.304	0.069	1.322	1.027	-1.163	0.542	1.162	-0.589	-1.091	0.639	-0.122	0.513	-0.122	-0.743	-0.451	-1.222	-1.288	-1.479	-0.075	0.047	-0.342
HLA-C	0.866	0.956	-0.364	-0.397	0.66	0.775	0.132	0.153	0.792	0.856	-0.638	-0.63	0.685	0.689	-1.329	-1.286	2.031	2.074	0.604	0.603	1.112	1.078	-0.978	-0.935	-0.825	-0.685	-1.114	-1.207	-0.266	-0.222	-1.659	-1.529
HLA-E	1.053	1.049	-0.441	-0.49	0.779	0.771	-0.462	-0.485	1.279	1.272	-0.131	-0.109	1.106	1.132	-0.764	-0.808	1.253	1.248	-0.269	-0.227	1.059	1.075	-0.549	-0.538	-0.305	-0.246	-0.58	-0.524	-0.515	-0.517	-2.253	-2.862
HLA-F	0.891	0.75	-0.54	-0.186	0.218	0.978	-0.255	-0.055	0.932	0.895	-0.002	0.098	1.115	1.05	-0.676	-1.529	1.657	1.634	-0.35	-0.707	1.326	1.288	-1.14	-0.881	-1.964	-1.293	-0.999	-1.964	-0.28	0.517	-0.363	-0.166
HLA-G	0.864	1.309	-0.951	-0.436	0.811	1.188	-0.427	1.187	0.914	1.565	-0.125	0.153	0.809	0.71	-0.72	-1.002	1.544	1.033	-0.204	-0.03	0.817	0.628	-0.452	-0.635	-1.992	-1.411	-1.098	-1.992	-1.263	-0.038	-0.93	0.175
HMGB4	0.705	0.17	0.165	-1.3	1.087	1.381	-0.527	-0.424	0.426	-1.3	-0.409	-1.3	0.971	0.276	0.661	0.651	0.478	0.856	0.73	0.714	-1.3	-1.3	-1.3	-1.3	-1.3	-1.3	-0.784	-0.793	1.279	1.346	1.455	1.286
HMX1	0.498	0.1	-0.051	-0.343	0.234	0.07	-1.061	-0.418	1.068	1.09	-0.145	-0.891	0.816	0.954	0.018	-0.146	1.75	2.082	0.869	1.175	0.898	0.898	-0.102	-0.035	-0.953	-0.314	-0.985	-1.436	-0.827	-0.487	-2.325	-2.0
HRASLS2	1.185	1.049	-0.958	-0.958	0.755	0.906	-0.42	-0.036	1.709	1.532	0.092	-0.477	1.355	1.186	-0.958	-0.958	1.42	1.345	-0.958	-0.958	1.051	1.141	-0.958	-0.062	-0.324	-0.958	-0.958	-0.958	-0.958	-0.958	-0.958	-0.958
HSPA6	-1.053	-0.601	-0.635	-0.387	0.562	0.153	3.068	3.116	-0.516	-0.843	-0.901	-0.42	-0.017	-0.353	-0.553	-0.493	0.27	-0.227	-1.06	-1.002	0.062	-0.281	0.201	-0.271	-0.45	-0.245	-0.394	-0.199	1.665	1.461	0.127	0.217
ICK	0.281	0.031	-1.125	-1.628	-0.372	-0.504	-1.055	-1.052	0.643	0.063	-0.84	-0.837	0.528	1.284	0.704	0.524	1.293	1.332	-0.776	-0.699	1.562	1.46	0.874	1.152	0.297	0.303	0.637	0.771	-2.083	-1.945	-0.283	-0.539
IDO1	1.078	1.131	-0.929	-0.929	1.148	1.118	-0.496	-0.337	1.07	1.056	-0.929	-0.929	1.186	1.213	-0.929	-0.929	1.655	1.674	-0.929	-0.929	1.129	1.139	-0.929	-0.929	-0.929	-0.929	-0.929	-0.466	0.336	0.308	-0.929	-0.929
IFI16	1.251	1.287	-0.507	-0.429	0.686	0.653	-0.794	-0.724	1.136	1.085	-0.272	-0.226	1.332	1.355	-0.617	-0.706	1.489	1.517	-0.449	-0.546	1.03	1.012	-0.908	-0.999	0.03	-0.043	-0.442	-0.463	-0.681	-0.979	-1.788	-2.29
IFI27	1.097	1.202	-0.794	-1.271	0.715	0.693	-0.419	-0.536	1.283	1.281	-0.779	-0.724	1.084	1.029	-0.394	-0.512	1.298	1.279	-1.81	-1.549	1.708	1.62	-0.558	-0.476	-0.305	-0.153	-0.674	-0.594	-0.263	-0.267	-1.146	-1.064
IFI35	1.207	1.233	-0.603	-0.783	0.877	0.881	-0.894	-0.87	1.37	1.377	-0.381	-0.501	1.268	1.219	-0.976	-1.174	1.486	1.517	-0.516	-0.734	1.209	1.214	-1.017	-1.026	-0.332	-0.4	-0.996	-0.881	-0.276	-0.095	-1.22	-1.183
IFI44	0.967	0.939	-0.367	-0.301	0.624	0.62	-0.803	-0.708	1.104	1.106	-0.292	-0.279	1.075	1.073	-0.535	-0.56	1.066	1.064	-0.39	-0.534	1.068	1.096	-0.516	-0.525	0.515	0.497	-0.28	-0.32	-0.411	-0.384	-3.126	-2.481
IFI44L	1.057	1.05	-0.298	-0.39	0.786	0.792	-0.804	-0.62	1.166	1.166	-0.509	-0.489	1.044	1.05	-0.633	-0.603	1.053	1.05	-0.807	-0.779	1.162	1.16	-0.384	-0.402	0.217	0.206	-0.17	-0.151	-0.305	-0.267	-2.721	-2.628
IFI6	1.059	1.033	-0.758	-0.726	0.822	0.79	-0.774	-0.863	1.393	1.368	-0.638	-0.7	1.188	1.199	-0.993	-1.022	1.361	1.361	-0.226	-0.26	1.342	1.34	-0.693	-0.787	-0.334	-0.355	-1.087	-1.081	0.172	0.131	-1.585	-1.677
IFIH1	1.12	1.105	-0.843	-0.716	0.966	0.947	-0.503	-0.697	1.244	1.238	-0.41	-0.435	1.276	1.263	-1.063	-1.066	1.288	1.277	-0.629	-0.839	1.239	1.223	-1.116	-0.736	-0.126	-0.064	-0.777	-0.918	0.114	0.101	-1.969	-1.495
IFIT1	0.878	0.897	-0.764	-0.868	0.89	0.882	-0.89	-0.912	1.255	1.269	-0.569	-0.566	1.107	1.118	-0.914	-0.949	1.184	1.188	-0.785	-0.769	1.336	1.329	-0.571	-0.586	0.286	0.279	-0.573	-0.616	0.284	0.281	-2.224	-1.907
IFIT1B	0.984	0.368	-0.56	-1.36	0.949	0.42	-1.106	-1.029	1.681	0.978	-0.764	-1.004	1.31	1.204	-0.653	-0.658	1.254	1.414	-0.702	-0.817	1.617	1.642	-0.414	-0.737	0.074	0.109	-0.494	-0.505	0.182	-0.513	-1.057	-1.814
IFIT2	1.02	1.036	-0.452	-0.391	0.928	0.945	-0.637	-0.598	1.247	1.261	-0.551	-0.545	1.257	1.263	-0.992	-0.922	1.345	1.346	-0.465	-0.426	1.204	1.205	-0.83	-0.773	-0.202	-0.228	-1.072	-0.977	-0.032	-0.004	-1.985	-1.978
IFIT3	1.01	1.003	-0.606	-0.702	0.889	0.893	-0.65	-0.795	1.256	1.278	-0.625	-0.605	1.28	1.278	-0.976	-0.89	1.362	1.356	-0.48	-0.497	1.287	1.277	-0.816	-0.767	-0.214	-0.188	-0.846	-0.889	0.079	0.086	-1.893	-1.895
IFIT5	0.476	0.482	-0.989	-0.77	0.678	0.679	-0.693	-0.638	1.567	1.629	-0.782	-0.668	1.1	1.0	-0.933	-1.031	0.856	0.952	-1.057	-1.0	1.657	1.683	-0.761	-0.789	0.062	0.143	-0.791	-0.849	0.811	0.942	-1.478	-1.487
IFITM1	0.967	1.031	0.493	0.577	0.573	0.653	-0.887	-0.784	0.888	0.983	-0.243	-0.107	0.92	0.913	-0.394	-0.451	0.881	0.9	0.092	0.076	0.796	0.811	-0.217	-0.237	-0.259	-0.161	-0.316	-0.268	-0.49	-0.465	-3.138	-3.138
IFITM2	0.74	0.743	0.253	0.283	0.446	0.498	-0.328	-0.29	0.968	0.971	0.237	0.207	0.927	0.93	-0.342	-0.264	0.86	0.9	0.151	0.155	0.637	0.655	-0.146	-0.133	-0.048	-0.099	-0.23	-0.206	-0.983	-0.931	-2.899	-3.663
IFITM3	0.589	0.631	0.244	0.266	0.293	0.286	-0.305	-0.3	0.76	0.819	0.039	0.059	0.722	0.745	-0.381	-0.391	0.66	0.681	0.124	0.117	0.712	0.716	0.101	0.084	0.448	0.452	0.346	0.346	-1.066	-0.959	-3.212	-3.628
IKZF2	1.6	0.987	-0.899	-1.254	0.033	-0.516	-0.202	-0.684	0.931	0.914	-1.221	-0.53	1.035	1.253	0.271	-0.572	0.483	0.78	-2.57	-2.318	0.8	1.18	0.24	0.254	-0.292	-0.502	-0.759	-0.37	-0.174	-0.216	1.231	1.085
IL15	1.179	0.903	-0.011	-0.111	0.899	0.663	0.22	-0.638	1.378	1.351	0.216	-0.009	0.975	0.871	-0.606	-0.793	1.839	1.782	-0.073	0.141	0.666	0.448	-0.767	-1.465	-0.974	-0.91	-1.462	-0.791	-0.781	-1.793	-1.686	-0.662
IL15RA	0.96	1.1	-1.274	-0.488	0.867	1.071	-0.483	-0.194	1.437	1.081	-0.383	0.385	0.908	1.154	-1.274	-1.274	1.726	1.879	-0.489	0.061	0.557	0.629	-1.274	-1.274	0.056	0.207	-0.311	-0.72	-0.815	-1.274	-1.274	-1.274
IL18BP	1.406	1.452	-0.851	-0.606	0.295	0.968	-1.115	-0.739	0.772	0.635	-1.169	-0.636	0.75	0.526	0.079	-0.641	2.296	2.036	-2.046	-0.909	0.709	0.541	-1.131	-0.877	-0.965	-0.277	-0.823	-0.469	-0.267	-0.129	0.489	0.695
IL4I1	1.221	0.642	-1.226	-0.596	0.802	0.651	-1.226	-1.226	1.045	0.951	-0.777	-1.226	1.457	1.206	-0.063	-0.452	1.336	1.525	-0.251	-1.226	1.511	1.647	-0.156	-0.327	-0.1	-0.772	-1.226	-0.538	0.08	-1.226	-1.226	-0.232
IRF1	0.984	0.928	-0.635	-0.631	0.885	0.893	-0.413	-0.3	1.214	1.246	0.115	0.116	1.163	1.207	-1.229	-0.874	1.504	1.529	-0.179	-0.15	1.17	1.082	-0.878	-0.763	-0.622	-0.697	-0.884	-0.735	-0.526	-0.492	-2.139	-1.885
IRF2	1.014	0.545	-0.671	-0.587	0.788	0.555	-0.673	-0.438	1.58	1.648	-0.309	-0.446	1.187	1.416	-1.045	-1.09	1.511	1.421	-0.066	-0.458	1.274	1.207	-1.127	-1.256	-0.512	-0.733	-0.703	-0.974	0.009	-0.148	-1.724	-1.194
IRF2BPL	-0.14	-0.113	-1.493	-1.169	-0.119	0.506	-1.479	-1.141	0.824	0.933	-0.851	-0.396	1.251	1.138	1.015	1.155	-0.02	0.407	-0.929	-1.292	1.381	1.466	0.537	0.01	1.193	1.251	0.024	0.062	-2.399	-0.943	-0.499	-0.171
IRF7	1.006	0.987	-1.116	-0.913	0.547	0.57	-1.395	-1.027	1.421	1.38	-0.647	-0.82	1.209	1.235	-0.892	-0.653	1.399	1.414	-0.798	-0.994	1.352	1.334	-0.376	-0.422	0.408	0.305	-0.104	-0.124	-0.708	-0.616	-1.581	-1.383
IRF9	0.977	0.805	-0.782	-1.063	0.782	1.238	-1.623	-1.291	0.937	1.056	-0.512	-0.645	0.753	0.71	-1.748	-1.922	1.015	0.829	-1.065	-0.594	1.317	1.426	-0.429	-0.51	0.025	0.318	-0.377	-0.459	1.132	1.154	-1.025	-0.428
ISG15	1.105	1.095	-0.809	-0.951	0.914	0.918	-0.691	-0.706	1.312	1.311	-0.603	-0.664	1.2	1.193	-0.881	-0.989	1.268	1.259	-0.54	-0.56	1.306	1.298	-0.946	-0.925	0.026	0.032	-1.011	-1.002	0.192	0.156	-1.569	-1.736
ISG20	1.182	1.064	-1.231	-0.818	0.993	1.077	-0.646	-0.594	1.236	1.181	-0.32	-0.394	0.967	1.034	-0.911	-1.078	1.814	1.825	-0.819	-0.13	1.073	1.01	-0.804	-1.143	-0.617	-0.654	-1.025	-0.941	-0.12	0.219	-1.211	-1.22
ITGA9	1.791	1.77	0.318	0.004	0.237	0.433	-0.951	-1.454	1.41	1.505	0.639	0.102	1.003	1.245	0.119	-0.016	1.275	1.055	-0.824	-1.124	-0.196	-0.061	-0.462	-0.691	-1.787	-1.361	-1.544	-1.269	-0.4	-0.45	-0.467	0.153
ITPR2	0.99	0.867	0.185	0.15	0.156	0.267	-0.275	-0.271	0.689	0.684	0.193	0.131	0.859	0.898	0.458	0.645	0.416	0.444	-0.001	-0.157	0.553	0.62	0.337	0.299	0.212	0.246	0.128	0.218	-1.827	-2.764	-2.488	-2.86
JAK2	1.352	1.358	-0.819	-0.671	0.44	0.33	-0.613	-0.867	1.714	1.433	-0.061	-0.316	1.321	0.929	-0.799	-0.43	1.769	1.868	-0.605	-1.082	0.763	0.776	-1.29	-1.186	-1.167	-1.229	-0.953	-0.861	-0.178	-0.34	-0.251	-0.334
KBTBD2	1.294	0.274	-0.881	-1.322	-0.127	0.692	-0.371	0.039	1.468	1.189	-1.404	-1.792	0.527	0.727	0.597	0.235	1.198	1.451	-0.306	-0.118	0.989	0.666	-0.816	-0.746	-1.125	-1.923	-1.579	-1.025	1.368	0.396	-0.101	0.527
KCNV2	1.663	0.593	-0.629	-1.052	0.507	0.788	-1.04	-0.377	0.275	0.342	0.004	0.413	-2.854	0.033	1.116	0.741	-0.153	-1.196	0.23	-0.024	-0.703	0.254	1.056	-0.092	-0.522	0.837	0.808	0.936	-0.444	-2.854	0.541	0.804
KIAA0226	1.274	1.481	0.218	0.363	0.777	0.814	-0.51	-0.092	0.421	0.291	-1.266	-1.112	0.728	0.647	0.947	0.858	0.854	1.03	-0.291	-0.34	-0.258	-0.165	-1.228	-1.394	-1.932	-1.626	-1.926	-1.646	0.674	0.817	0.976	0.618
KIAA1217	0.999	0.996	-0.28	-0.23	0.43	0.219	-0.409	-0.282	1.203	1.104	0.477	0.601	0.392	0.348	-0.088	-0.137	1.242	1.209	0.163	0.283	0.513	0.531	-0.372	-0.571	0.073	0.177	0.287	0.269	-1.86	-1.95	-2.785	-2.552
KIF13A	0.778	0.582	0.003	-0.1	-0.161	-0.28	-0.696	-0.817	0.947	1.037	-0.137	-0.075	0.74	0.742	0.278	0.272	1.294	1.445	0.065	0.084	0.393	0.642	0.187	0.285	0.431	0.345	0.527	0.373	-2.576	-2.551	-2.039	-2.018
KIF13B	1.844	1.491	0.369	0.463	-0.412	0.04	-0.231	-1.093	1.518	1.224	0.245	0.183	0.17	0.955	0.034	0.18	0.835	0.735	-0.636	-0.728	0.863	0.622	-0.124	0.092	-0.51	-0.374	0.084	-0.279	-2.48	-2.466	-0.937	-1.678
KLLN	-1.486	-0.706	1.661	0.483	-0.398	-0.093	1.969	2.142	-0.887	-0.367	1.114	0.204	0.178	-0.628	0.028	-0.37	-0.98	-2.856	0.987	-0.256	-0.003	-0.388	0.829	0.971	0.741	-0.677	-0.0	0.791	-0.393	-0.354	-0.988	-0.267
LAP3	1.001	0.954	-0.818	-0.814	0.773	0.744	-0.772	-0.875	1.519	1.454	-0.36	-0.48	1.101	1.101	-1.351	-1.338	1.714	1.739	-0.534	-0.494	1.22	1.237	-0.708	-0.716	-0.476	-0.458	-0.546	-0.58	-0.238	-0.282	-1.33	-1.386
LARGE	0.101	0.035	-1.805	-1.408	0.208	-0.279	-1.13	-0.897	0.245	0.042	-1.187	-1.416	0.105	-0.085	-0.229	-0.179	1.358	1.528	-0.056	0.341	1.48	1.699	-0.24	0.253	-0.962	-0.984	-0.925	-1.067	1.515	1.528	1.343	1.07
LCP2	1.346	1.551	0.386	0.107	-0.021	1.204	-1.082	-1.082	0.335	-1.082	-1.082	-1.082	1.861	1.557	-1.082	-1.082	0.85	1.432	0.62	0.093	0.985	1.351	0.024	-0.234	-1.082	-1.082	-0.231	-0.244	0.011	-1.082	-1.082	-1.082
LGALS3BP	0.887	0.919	-0.612	-0.623	0.583	0.654	-0.432	-0.417	1.098	1.141	-0.659	-0.514	0.966	0.981	-0.915	-0.89	1.656	1.624	-0.035	-0.104	1.494	1.481	-0.456	-0.545	-0.147	-0.165	-0.507	-0.578	-0.814	-0.672	-2.157	-2.241
LGALS9	1.21	1.293	-0.733	-0.475	0.922	1.285	-0.781	-0.28	1.331	1.437	-1.333	-0.866	0.941	1.084	-0.981	-0.08	1.546	1.398	-1.417	-0.341	1.014	1.008	-0.853	-1.196	-0.415	-0.592	-1.062	-0.964	-0.295	0.244	-0.93	-1.119
LGMN	1.11	1.22	-0.221	-0.281	0.626	0.667	-0.449	-0.496	1.464	1.421	-0.376	-0.603	1.268	1.334	-0.874	-0.803	1.576	1.507	-0.283	-0.297	1.053	0.996	-0.998	-1.054	-0.498	-0.497	-0.628	-0.645	-0.681	-0.894	-1.822	-1.842
LIPA	0.206	-0.138	-0.497	-0.461	0.905	0.922	-0.231	-0.251	1.09	1.177	0.278	0.241	0.388	0.556	-0.912	-1.086	1.318	1.386	0.805	0.673	0.871	0.893	0.254	0.319	-0.237	-0.079	-0.185	-0.038	-1.313	-1.686	-2.666	-2.502
LMO2	0.454	0.227	-0.926	-0.76	0.565	0.768	0.591	0.33	0.848	1.246	-0.08	0.005	0.779	1.255	-1.43	-1.247	0.045	0.363	-0.444	-0.642	0.287	0.109	-0.958	-1.114	1.756	1.803	0.93	1.133	-1.091	-1.007	-1.882	-1.912
LNPEP	0.964	1.042	-0.459	-0.533	0.553	0.447	-0.437	-0.649	1.815	1.909	0.02	-0.044	0.483	0.877	-0.437	-0.653	1.731	1.803	0.056	-0.004	0.355	0.295	-1.032	-0.851	-1.875	-1.793	-1.554	-1.354	-0.505	-0.513	0.156	0.188
LPCAT3	0.276	1.221	-1.7	-1.194	0.819	1.011	-0.784	-1.493	1.432	1.151	0.342	0.157	0.826	-0.171	-2.679	-0.888	0.759	1.842	-0.43	0.468	-0.788	-0.175	-0.452	-0.123	1.14	0.793	0.084	0.036	-1.117	0.176	-0.895	0.361
LPIN2	1.356	0.97	-0.775	-0.733	1.104	0.821	0.202	0.871	2.1	2.417	-0.08	-0.179	0.5	1.054	0.042	0.034	0.294	0.97	-1.351	-0.714	-0.05	0.065	-0.901	-0.733	-0.653	-0.989	-0.47	-0.397	-1.546	-1.836	-0.195	-1.199
